window_start,window_end,window,pv,uv,cart,buy
2017-11-26 01:00:00,2017-11-26 01:05:00,01:00~01:05,3179,3142,191,73
2017-11-26 01:05:00,2017-11-26 01:10:00,01:05~01:10,3269,3183,187,81
2017-11-26 01:10:00,2017-11-26 01:15:00,01:10~01:15,3392,3279,203,71
2017-11-26 01:15:00,2017-11-26 01:20:00,01:15~01:20,3383,3382,224,85
2017-11-26 01:20:00,2017-11-26 01:25:00,01:20~01:25,3282,3232,208,78
2017-11-26 01:25:00,2017-11-26 01:30:00,01:25~01:30,3444,3383,207,75
2017-11-26 01:30:00,2017-11-26 01:35:00,01:30~01:35,3566,3534,208,94
2017-11-26 01:35:00,2017-11-26 01:40:00,01:35~01:40,3588,3536,203,85
2017-11-26 01:40:00,2017-11-26 01:45:00,01:40~01:45,3695,3643,220,73
2017-11-26 01:45:00,2017-11-26 01:50:00,01:45~01:50,3617,3570,222,93
2017-11-26 01:50:00,2017-11-26 01:55:00,01:50~01:55,3745,3669,249,84
2017-11-26 01:55:00,2017-11-26 02:00:00,01:55~02:00,3730,3649,217,100
2017-11-26 02:00:00,2017-11-26 02:05:00,02:00~02:05,3658,3625,235,103
2017-11-26 02:05:00,2017-11-26 02:10:00,02:05~02:10,3785,3722,231,91
2017-11-26 02:10:00,2017-11-26 02:15:00,02:10~02:15,4005,3975,265,103
2017-11-26 02:15:00,2017-11-26 02:20:00,02:15~02:20,3904,3806,228,99
2017-11-26 02:20:00,2017-11-26 02:25:00,02:20~02:25,3956,3910,249,114
2017-11-26 02:25:00,2017-11-26 02:30:00,02:25~02:30,4005,3932,249,108
2017-11-26 02:30:00,2017-11-26 02:35:00,02:30~02:35,4007,3895,240,98
2017-11-26 02:35:00,2017-11-26 02:40:00,02:35~02:40,4052,3986,262,110
2017-11-26 02:40:00,2017-11-26 02:45:00,02:40~02:45,4114,4021,252,111
2017-11-26 02:45:00,2017-11-26 02:50:00,02:45~02:50,4134,4056,254,100
2017-11-26 02:50:00,2017-11-26 02:55:00,02:50~02:55,4147,4099,280,113
2017-11-26 02:55:00,2017-11-26 03:00:00,02:55~03:00,4255,4171,247,108
2017-11-26 03:00:00,2017-11-26 03:05:00,03:00~03:05,4126,4061,250,120
2017-11-26 03:05:00,2017-11-26 03:10:00,03:05~03:10,4172,4092,269,120
2017-11-26 03:10:00,2017-11-26 03:15:00,03:10~03:15,4121,4049,262,99
2017-11-26 03:15:00,2017-11-26 03:20:00,03:15~03:20,4128,4050,244,117
2017-11-26 03:20:00,2017-11-26 03:25:00,03:20~03:25,3996,3932,222,95
2017-11-26 03:25:00,2017-11-26 03:30:00,03:25~03:30,3867,3833,229,119
2017-11-26 03:30:00,2017-11-26 03:35:00,03:30~03:35,3734,3694,230,112
2017-11-26 03:35:00,2017-11-26 03:40:00,03:35~03:40,3917,3884,230,122
2017-11-26 03:40:00,2017-11-26 03:45:00,03:40~03:45,3859,3791,254,111
2017-11-26 03:45:00,2017-11-26 03:50:00,03:45~03:50,3773,3774,248,109
2017-11-26 03:50:00,2017-11-26 03:55:00,03:50~03:55,3844,3796,244,83
2017-11-26 03:55:00,2017-11-26 04:00:00,03:55~04:00,3761,3690,209,106
2017-11-26 04:00:00,2017-11-26 04:05:00,04:00~04:05,3690,3621,216,109
