user_id,algorithm,rank,item_id,score
239,UserCF,1,1589561,1.3059
239,UserCF,2,1458986,0.8944
239,UserCF,3,619538,0.8433
239,ItemCF,1,1589561,1.2792
239,ItemCF,2,5111655,0.4835
239,ItemCF,3,3823922,0.4215
507,UserCF,1,3245292,0.6422
507,UserCF,2,5099668,0.4928
507,UserCF,3,531558,0.4743
507,ItemCF,1,3245292,0.2972
507,ItemCF,2,2851250,0.2887
507,ItemCF,3,3003830,0.2887
1203,UserCF,1,3755965,0.8775
1203,UserCF,2,766784,0.4234
1203,UserCF,3,144579,0.2925
1203,ItemCF,1,3755965,0.7276
1203,ItemCF,2,766784,0.4961
1203,ItemCF,3,144579,0.2287
1263,UserCF,1,77819,1.206
1263,UserCF,2,128495,1.206
1263,UserCF,3,4847828,0.8581
1263,ItemCF,1,77819,0.6917
1263,ItemCF,2,4847828,0.6862
1263,ItemCF,3,4697995,0.4575
1319,UserCF,1,2751276,0.6
1319,UserCF,2,1577659,0.5963
1319,UserCF,3,284834,0.5071
1319,ItemCF,1,1577659,0.5685
1319,ItemCF,2,2751276,0.5455
1319,ItemCF,3,4364467,0.4201
1616,UserCF,1,1301570,0.6708
1616,UserCF,2,4989871,0.5
1616,UserCF,3,2143473,0.5
1616,ItemCF,1,1301570,0.4009
1616,ItemCF,2,1704995,0.25
1616,ItemCF,3,4989871,0.2041
1714,UserCF,1,4063028,0.4743
1714,UserCF,2,4580112,0.4472
1714,UserCF,3,1508204,0.4472
1714,ItemCF,1,1877844,0.4082
1714,ItemCF,2,4063028,0.3693
1714,ItemCF,3,2879576,0.2887
1877,UserCF,1,4515398,0.686
1877,UserCF,2,3092217,0.6708
1877,UserCF,3,469421,0.6708
1877,ItemCF,1,3092217,0.5
1877,ItemCF,2,4515398,0.3152
1877,ItemCF,3,3397177,0.2315
2117,UserCF,1,3289083,0.9204
2117,UserCF,2,4632023,0.9204
2117,UserCF,3,4886026,0.8677
2117,ItemCF,1,3289083,1.206
2117,ItemCF,2,4632023,0.603
2117,ItemCF,3,4886026,0.5264
2344,UserCF,1,2343757,1.6971
2344,UserCF,2,1924468,1.4082
2344,UserCF,3,145860,1.1325
2344,ItemCF,1,2343757,0.3608
2344,ItemCF,2,3334114,0.1715
2344,ItemCF,3,460586,0.1715
2548,UserCF,1,2948329,0.7887
2548,UserCF,2,3504111,0.6708
2548,UserCF,3,1858115,0.5
2548,ItemCF,1,3504111,0.2224
2548,ItemCF,2,3053524,0.1925
2548,ItemCF,3,3015046,0.1491
2639,UserCF,1,2761782,0.5883
2639,UserCF,2,1290949,0.5123
2639,UserCF,3,1917129,0.5
2639,ItemCF,1,2761782,0.2631
2639,ItemCF,2,1917129,0.1826
2639,ItemCF,3,1290949,0.1581
2657,UserCF,1,1843785,0.8165
2657,UserCF,2,70176,0.6325
2657,UserCF,3,1274610,0.6124
2657,ItemCF,1,1274610,0.3397
2657,ItemCF,2,55419,0.1826
2657,ItemCF,3,1843785,0.1782
2674,UserCF,1,3670888,0.9428
2674,UserCF,2,3718042,0.5883
2674,UserCF,3,4447137,0.5
2674,ItemCF,1,4250427,0.3333
2674,ItemCF,2,3670888,0.3333
2674,ItemCF,3,751298,0.25
2707,UserCF,1,3450493,1.0
2707,UserCF,2,2663450,0.5
2707,UserCF,3,1656532,0.5
2707,ItemCF,1,3450493,0.5774
2707,ItemCF,2,2663450,0.2887
2707,ItemCF,3,1656532,0.2887
2729,UserCF,1,1989476,0.9966
2729,UserCF,2,1274069,0.9046
2729,UserCF,3,4491210,0.8165
2729,ItemCF,1,5088787,0.2535
2729,ItemCF,2,2569028,0.1925
2729,ItemCF,3,1989476,0.1898
2736,UserCF,1,128495,0.744
2736,UserCF,2,2250189,0.5477
2736,UserCF,3,882874,0.5477
2736,ItemCF,1,882874,0.2417
2736,ItemCF,2,2250189,0.2224
2736,ItemCF,3,4678243,0.208
3636,UserCF,1,3209415,0.7303
3636,UserCF,2,3704297,0.6664
3636,UserCF,3,2364679,0.6265
3636,ItemCF,1,2499853,0.433
3636,ItemCF,2,1690295,0.3015
3636,ItemCF,3,3209415,0.2202
3991,UserCF,1,2376866,0.5883
3991,UserCF,2,2019056,0.5883
3991,UserCF,3,3377667,0.4804
3991,ItemCF,1,3377667,0.5477
3991,ItemCF,2,2019056,0.5477
3991,ItemCF,3,1708426,0.5
4560,UserCF,1,1992230,1.2247
4560,UserCF,2,3716319,0.9998
4560,UserCF,3,3011437,0.9246
4560,ItemCF,1,1992230,0.4845
4560,ItemCF,2,4989871,0.2801
4560,ItemCF,3,58511,0.2425
4981,UserCF,1,3438964,0.6325
4981,UserCF,2,250498,0.6325
4981,UserCF,3,705200,0.5477
4981,ItemCF,1,3438964,0.4364
4981,ItemCF,2,3307905,0.3536
4981,ItemCF,3,705200,0.3198
5057,UserCF,1,1163632,0.7746
5057,UserCF,2,44126,0.6124
5057,UserCF,3,1867670,0.5
5057,ItemCF,1,82156,0.9637
5057,ItemCF,2,1867670,0.4819
5057,ItemCF,3,1163632,0.4804
5091,UserCF,1,3004746,0.6708
5091,UserCF,2,2174346,0.2236
5091,UserCF,3,4318526,0.1826
5091,ItemCF,1,2973329,0.2357
5091,ItemCF,2,2261965,0.2357
5091,ItemCF,3,3004746,0.2132
5258,UserCF,1,2778699,0.5744
5258,UserCF,2,230577,0.4818
5258,UserCF,3,4123377,0.4216
5258,ItemCF,1,4823470,0.4472
5258,ItemCF,2,593972,0.3536
5258,ItemCF,3,4123377,0.3482
5629,UserCF,1,189250,1.0607
5629,UserCF,2,4649427,0.6759
